date,category,price,replenish_qty,demand_pred,cost_est,markup,service_level,loss_rate,prediction_std,price_elasticity,expected_revenue,expected_profit
2023-07-01,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-01,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-01,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-01,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-01,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-01,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-02,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-02,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-02,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-02,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-02,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-02,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-03,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-03,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-03,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-03,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-03,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-03,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-04,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-04,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-04,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-04,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-04,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-04,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-05,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-05,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-05,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-05,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-05,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-05,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-06,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-06,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-06,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-06,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-06,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-06,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
2023-07-07,花菜类,7.5,41.0,16.99,6.24,0.2,0.95,0.0926,12.16,-5.085180597823345,127.42499999999998,21.407399999999996
2023-07-07,茄类,7.5,24.0,7.93,6.14,0.22,0.95,0.060700000000000004,8.69,-1.1267488246704442,59.474999999999994,10.784800000000002
2023-07-07,花叶类,4.1,45.0,13.04,3.42,0.2,0.95,0.1217,15.84,-2.0414337770800315,53.46399999999999,8.867199999999995
2023-07-07,水生根茎类,7.8,39.0,10.39,6.54,0.2,0.95,0.09609999999999999,15.07,-2.6871250081484024,81.042,13.091399999999998
2023-07-07,辣椒类,5.9,41.0,11.51,4.94,0.2,0.95,0.0943,15.13,-2.399211295463098,67.909,11.0496
2023-07-07,食用菌,5.2,49.0,11.08,4.36,0.2,0.95,0.0943,19.78,-1.290228644995915,57.616,9.307199999999998
